,ID,cell.names,DepmapModelType,cosmic.id,cell.names_nerd,cell.names.1
756,ACH-000922,RCHACV,BALL,1330994,RCHACV,RCH-ACV
757,ACH-000565,RCM1,READ,909263,RCM1,RCM-1
758,ACH-000169,RD,ERMS,909264,RD,RD
759,ACH-000960,REH,BALL,909696,REH,REH
760,ACH-000144,RERFGC1B,STAD,1240209,RERFGC1B,RERF-GC-1B
761,ACH-000482,RERFLCKJ,LUAD,1298537,RERFLCKJ,RERF-LC-KJ
762,ACH-000062,RERFLCMS,LUAD,910931,RERFLCMS,RERF-LC-MS
763,ACH-000442,RERFLCSQ1,LUSC,1298538,RERFLCSq1,RERF-LC-Sq1
764,ACH-002301,RF48,NHL,909697,NA,RF-48
765,ACH-000689,RH18,ERMS,971774,NA,RH-18
766,ACH-000100,RH41,ARMS,1240210,RH41,RH-41
767,ACH-000505,RKN,LMS,1298539,RKN,RKN
768,ACH-000943,RKO,COAD,909698,RKO,RKO
769,ACH-000371,RL,DLBCLNOS,910861,NA,RL
770,ACH-000965,RL952,UASC,930082,RL952,RL95-2
771,ACH-000719,RMGI,CCOV,909699,NA,RMG-I
772,ACH-001384,RO82W1,THFO,930083,RO82W1,RO82-W-1
773,ACH-001639,ROS50,DLBCLNOS,1331025,NA,ROS-50
774,ACH-001182,RPMI6666,BALL,909701,NA,RPMI-6666
775,ACH-000348,RPMI7951,MEL,910903,RPMI7951,RPMI-7951
776,ACH-000817,RPMI8226,PCM,905964,RPMI8226,RPMI-8226
777,ACH-000636,RPMI8402,TALL,909702,NA,RPMI-8402
778,ACH-002302,RPMI8866,CMLBCRABL1,910544,NA,RPMI-8866
779,ACH-000874,RS411,BALL,909703,RS411,RS4-11
780,ACH-000473,RT112,BLCA,909704,RT112,RT-112
781,ACH-000242,RT4,BLCA,687455,RT4,RT4
782,ACH-000614,RVH421,MEL,909706,RVH421,RVH-421
783,ACH-002195,RXF393,RCC,905978,NA,RXF393
784,ACH-000410,SAOS2,OS,909707,Saos2,Saos-2
785,ACH-002029,SAS,OCSC,NA,SAS,SAS
786,ACH-001641,SAT,HNSC,1299050,SAT,SAT
787,ACH-002196,SBC1,SCLC,713885,NA,SBC-1
788,ACH-002197,SBC3,SCLC,753610,NA,SBC-3
789,ACH-000670,SBC5,SCLC,713880,SBC5,SBC-5
790,ACH-000254,SCC15,OCSC,910911,SCC15,SCC-15
791,ACH-000188,SCC25,OCSC,910701,SCC25,SCC-25
792,ACH-001642,SCC3,MBN,910930,SCC3,SCC-3
793,ACH-000238,SCC4,OCSC,910904,SCC4,SCC-4
794,ACH-000181,SCC9,OCSC,909709,SCC9,SCC-9
795,ACH-001227,UPCISCC090,OCSC,1299052,NA,SCC90
796,ACH-002198,SCH,EGCT,909711,NA,SCH
797,ACH-000609,SF126,GB,909712,SF126,SF126
798,ACH-000655,SF268,ASTR,905986,SF268,SF268
799,ACH-000376,SF295,GB,905985,SF295,SF295
800,ACH-000273,SF539,GSARC,905984,SF539,SF539
801,ACH-000441,SH4,MEL,909713,SH4,SH-4
802,ACH-000790,SHP77,SCLC,724872,SHP77,SHP-77
803,ACH-000112,SIGM5,AMOL,909715,NA,SIG-M5
804,ACH-000556,SIHA,CESC,930297,SIHA,SiHa
805,ACH-000099,SIMA,NBL,753620,NA,SIMA
806,ACH-001650,SISO,CEAD,1240212,SISO,SISO
807,ACH-001189,SJRH30,ARMS,909716,NA,SJRH30
808,ACH-000748,SJSA1,OS,909717,NA,SJSA-1
809,ACH-000400,SKCO1,COAD,909718,SKCO1,SK-CO-1
810,ACH-000087,SKES1,ES,684072,SKES1,SK-ES-1
811,ACH-001653,SKGT2,STAD,1503364,SKGT2,SK-GT-2
812,ACH-001654,SKGT4,ESCA,1503365,SKGT4,SK-GT-4
813,ACH-000361,SKHEP1,HCC,909719,NA,SK-HEP-1
814,ACH-000145,SKLMS1,LMS,909720,SKLMS1,SK-LMS-1
815,ACH-000309,SKLU1,LUAD,909721,NA,SK-LU-1
816,ACH-000465,SKMEL1,MEL,909723,NA,SK-MEL-1
817,ACH-001190,SKMEL2,MEL,905955,NA,SK-MEL-2
818,ACH-000822,SKMEL24,MEL,909725,SKMEL24,SK-MEL-24
819,ACH-000615,SKMEL28,SKCM,905954,SKMEL28,SK-MEL-28
820,ACH-000423,SKMEL3,SKCM,909724,NA,SK-MEL-3
821,ACH-000810,SKMEL30,SKCM,909726,SKMEL30,SK-MEL-30
822,ACH-000640,SKMEL31,SKCM,909727,SKMEL31,SK-MEL-31
823,ACH-000730,SKMEL5,SKCM,905956,SKMEL5,SK-MEL-5
824,ACH-000665,SKMES1,LUSC,909728,SKMES1,SK-MES-1
825,ACH-002304,SKMG1,ASTR,909729,NA,SK-MG-1
826,ACH-000363,SKMM2,PCM,753612,SKMM2,SK-MM-2
827,ACH-000260,SKNAS,NBL,724828,SKNAS,SK-N-AS
828,ACH-000366,SKNDZ,NBL,688086,SKNDZ,SK-N-DZ
829,ACH-000341,SKNFI,NBL,688087,NA,SK-N-FI
830,ACH-000149,SKNSH,NBL,717431,NA,SK-N-SH
831,ACH-000811,SKOV3,SOC,905959,SKOV3,SK-OV-3
832,ACH-001193,SKPNDW,ES,909731,SKPNDW,SK-PN-DW
833,ACH-000939,SKUT1,ULMS,909732,SKUT1,SK-UT-1
834,ACH-002020,SKGIIIA,CESC,NA,NA,SKG-IIIa
835,ACH-000373,SKM1,AML,909722,SKM1,SKM-1
836,ACH-001655,SKN,ULMS,1240215,SKN,SKN
837,ACH-002305,SKN3,OCSC,1299059,NA,SKN-3
838,ACH-002062,SLVL,SMZL,NA,SLVL,SLVL
839,ACH-002199,SN12C,RCC,905979,NA,SN12C
840,ACH-000504,SNB75,GB,905982,SNB75,SNB75
841,ACH-000974,SNGM,UCEC,909735,SNGM,SNG-M
842,ACH-000932,SNU1,STAD,908444,SNU1,SNU-1
843,ACH-000999,SNU1040,COAD,1659823,NA,SNU-1040
844,ACH-000581,SNU16,STAD,908446,NA,SNU-16
845,ACH-000989,SNU175,MACR,1659928,SNU175,SNU-175
846,ACH-000708,SNU283,READ,1659929,SNU283,SNU-283
847,ACH-000478,SNU387,HCC,909736,SNU387,SNU-387
848,ACH-000221,SNU398,HCC,1240217,SNU398,SNU-398
849,ACH-000955,SNU407,COAD,1660034,NA,SNU-407
850,ACH-000493,SNU423,HCC,909737,SNU423,SNU-423
851,ACH-000420,SNU449,HCC,909738,SNU449,SNU-449
852,ACH-000303,SNU5,STAD,908445,SNU5,SNU-5
853,ACH-000532,SNU61,READ,1660035,NA,SNU-61
854,ACH-000991,SNU81,COAD,1660036,SNU81,SNU-81
855,ACH-000722,SNUC1,COAD,910905,SNUC1,SNU-C1
856,ACH-001199,SNUC2B,COAD,909740,NA,SNU-C2B
857,ACH-000970,SNUC5,COAD,1674021,SNUC5,SNU-C5
858,ACH-002340,NBSUSSR,NBL,,NA,SR
859,ACH-000567,ST486,BL,910906,NA,ST486
860,ACH-002306,STS0421,STAD,1299061,NA,STS-0421
861,ACH-000664,SUDHL1,ALCLALKP,909742,NA,SU-DHL-1
862,ACH-000271,SUDHL10,DLBCLNOS,1331033,SUDHL10,SU-DHL-10
863,ACH-002307,SUDHL16,MBN,1331034,NA,SU-DHL-16
864,ACH-000365,SUDHL4,DLBCLNOS,1331035,NA,SU-DHL-4
865,ACH-000660,SUDHL5,DLBCLNOS,1331036,SUDHL5,SU-DHL-5
866,ACH-000611,SUDHL6,DLBCLNOS,1331037,NA,SU-DHL-6
867,ACH-000656,SUDHL8,DLBCLNOS,1331038,SUDHL8,SU-DHL-8
868,ACH-000114,SU8686,PAAD,1240218,SU8686,SU8686
869,ACH-000652,SUIT2,PAAD,1240219,SUIT2,SUIT-2
870,ACH-000059,SUPB15,BALL,1247871,SUPB15,SUP-B15
871,ACH-002308,SUPB8,BALL,910209,NA,SUP-B8
872,ACH-001203,SUPHD1,HL,1331039,NA,SUP-HD1
873,ACH-000226,SUPM2,ALCLALKP,1331040,SUPM2,SUP-M2
874,ACH-000953,SUPT1,NHL,909743,SUPT1,SUP-T1
875,ACH-000437,SW1088,ASTR,909745,SW1088,SW1088
876,ACH-000489,SW1116,COAD,909746,SW1116,SW1116
877,ACH-000890,SW1271,SMARCA4-UT,1299062,SW1271,SW1271
878,ACH-001401,SW13,ACC,909744,SW13,SW13
879,ACH-000236,SW1417,COAD,909747,SW1417,SW1417
880,ACH-000470,SW1463,READ,909748,SW1463,SW1463
881,ACH-001398,SW156,RCC,1240220,SW156,SW156
882,ACH-000677,SW1573,LUAD,724878,SW1573,SW1573
883,ACH-000566,SW1710,BLCA,909749,SW1710,SW1710
884,ACH-000883,SW1783,AASTR,909750,NA,SW1783
885,ACH-000155,SW1990,PAAD,910907,NA,SW1990
886,ACH-000958,SW48,COAD,909751,NA,SW48
887,ACH-000651,SW620,COAD,905962,SW620,SW620
888,ACH-001399,SW626,COAD,909753,SW626,SW626
889,ACH-002309,SW684,FIBS,909754,NA,SW684
890,ACH-001402,SW756,CESC,724839,SW756,SW756
891,ACH-000384,SW780,BLCA,687457,SW780,SW780
892,ACH-000421,SW837,READ,909755,SW837,SW837
893,ACH-002310,SW872,LIPO,909756,NA,SW872
894,ACH-000680,SW948,COAD,909757,SW948,SW948
895,ACH-001400,SW954,VSC,924247,SW954,SW954
896,ACH-002200,SW962,VMM,909758,NA,SW962
897,ACH-001274,SW982,SYNS,909759,SW982,SW982
898,ACH-001321,TT,THME,,TT,T-T
899,ACH-000018,T24,BLCA,724812,T24,T24
900,ACH-000147,T47D,IDC,905945,T47D,T47D
901,ACH-000381,T84,COAD,909761,T84,T84
902,ACH-000571,T98G,GB,687586,T98G,T98G
903,ACH-000197,TALL1,TALL,909762,TALL1,TALL-1
904,ACH-000424,TC71,ES,1240221,TC71,TC-71
905,ACH-002201,TCYIK,SCCE,946357,NA,TC-YIK
906,ACH-000720,TCCSUP,BLCA,687459,TCCSUP,TCCSUP
907,ACH-000647,TE1,ESCC,753621,TE1,TE-1
908,ACH-000318,TE10,ESCC,753622,TE10,TE-10
909,ACH-000488,TE11,ESCC,946354,TE11,TE-11
910,ACH-002311,TE12,ESCC,946356,NA,TE-12
911,ACH-000353,TE15,ESCC,753614,NA,TE-15
912,ACH-000917,TE4,ESCC,1503371,TE4,TE-4
913,ACH-000772,TE441T,CDS,924248,TE441T,TE-441-T
914,ACH-000408,TE5,ESCC,735784,TE5,TE-5
915,ACH-000605,TE6,ESCC,946355,TE6,TE-6
916,ACH-000452,TE8,ESCC,753623,NA,TE-8
917,ACH-000694,TE9,ESCC,946353,TE9,TE-9
918,ACH-000949,TGBC11TKB,STAD,909770,NA,TGBC11TKB
919,ACH-001861,TGBC1TKB,GBC,NA,NA,TGBC1TKB
920,ACH-002312,TGBC24TKB,GBAD,910695,NA,TGBC24TKB
921,ACH-001674,TGW,NBL,910780,TGW,TGW
922,ACH-000146,THP1,AML,909771,THP1,THP-1
923,ACH-002313,TK,MBN,1331045,NA,TK
924,ACH-001208,TK10,CCRCC,905980,NA,TK10
925,ACH-002202,TMK1,STAD,1299069,NA,TMK-1
926,ACH-000048,TOV112D,EOV,1299070,TOV112D,TOV-112D
927,ACH-000885,TOV21G,CCOV,1240222,TOV21G,TOV-21G
928,ACH-000716,TT2609C02,THFO,1240223,TT2609C02,TT2609-C02
929,ACH-002314,TUR,AMOL,909773,NA,TUR
930,ACH-000430,TYKNU,HGSOC,909774,TYKnu,TYK-nu
931,ACH-000040,U118MG,ASTR,687588,U118MG,U-118-MG
932,ACH-000364,U2OS,OS,909776,U2OS,U-2-OS
933,ACH-000626,U266B1,PCM,753615,U266,U-266
934,ACH-001680,U698M,NHL,909777,NA,U-698-M
935,ACH-000075,U87MG,GB,687590,NA,U-87-MG
936,ACH-002204,UCH2,CHDM,1503373,NA,U-CH2
937,ACH-000428,UO31,RCC,905981,U031,U031
